C Model number | time (yr)  |  Temperature (GK)  | density (cm^-3) 
C 23000  7370594.14951  0.316553370411  2678.30008957
C Mass coordinate that is really used
C 1.04809785662
D GA   67    2.04020097698e-27
D GA   68    0.0
D GA   69    1.11211326276e-06
D GA   70    5.2751441793e-16
D GA   71    7.99296014208e-07
D GA   72    1.96331996332e-15
D GA   73    6.33152016917e-23
D GA   74    0.0
D GA   75    0.0
D GE   66    0.0
D GE   67    0.0
D GE   68    0.0
D GE   69    0.0
D GE   70    1.37331297999e-06
D GE   71    3.877860529e-12
D GE   72    1.00129856823e-06
D GE   73    2.68669217594e-07
D GE   74    1.0129748585e-06
D GE   75    5.25457070644e-16
D GE   76    7.72123734465e-10
D GE   77    1.13269817471e-18
D GE   78    2.24114908923e-27
D AS   69    0.0
D AS   70    0.0
D AS   71    0.0
D AS   72    0.0
D AS   73    9.62697298121e-28
D AS   74    2.39154583763e-25
D AS   75    9.73137712122e-08
D AS   76    4.97251960608e-17
D AS   77    6.18080142157e-18
D AS   78    3.59316586934e-26
D AS   79    0.0
D SE   72    0.0
D SE   73    0.0
D SE   74    1.62987720189e-22
D SE   75    1.28990136914e-26
D SE   76    1.89599724356e-07
D SE   77    7.02896387679e-08
D SE   78    3.42688176776e-07
D SE   79    2.60369886241e-12
D SE   80    1.58413751842e-08
D SE   81    2.21020350214e-18
D SE   82    2.60896573985e-09
D SE   83    8.53275376194e-20
D SE   84    0.0
D BR   74    0.0
D BR   75    0.0
D BR   76    0.0
D BR   77    0.0
D BR   78    0.0
D BR   79    3.2765724798e-08
D BR   80    9.87078609316e-17
D BR   81    1.07166438828e-08
D BR   82    7.60402715971e-17
D BR   83    5.43546668475e-19
D BR   84    7.36842612418e-28
D BR   85    0.0
D KR   76    0.0
D KR   77    0.0
D KR   78    6.00422404331e-24
D KR   79    0.0
D KR   80    6.08906260003e-08
D KR   81    2.3234944845e-08
D KR   82    1.50931962232e-07
D KR   83    5.13047556787e-08
D KR   84    2.42891403984e-07
D KR   85    4.07597534807e-12
D KR   86    1.27621154329e-08
D KR   87    7.24167998225e-19
D KR   88    9.53275831625e-28
D KR   89    0.0
D RB   79    0.0
D RB   81    0.0
D RB   82    0.0
D RB   83    0.0
D RB   84    3.21372850429e-28
D RB   85    3.43022292859e-08
D RB   86    3.29101706447e-14
D RB   87    4.33864855076e-09
D RB   88    2.7380915513e-19
D RB   89    6.51291514119e-29
D RB   90    0.0
D SR   80    0.0
D SR   81    0.0
D SR   82    0.0
D SR   83    0.0
D SR   84    6.87452863497e-26
D SR   85    0.0
D SR   86    9.23934326466e-08
D SR   87    5.2307958793e-08
D SR   88    2.8917409883e-07
D SR   89    2.1318662687e-14
D SR   90    4.94682241062e-18
D SR   91    2.00883640114e-26
D SR   92    0.0
D SR   93    0.0
D SR   94    0.0
D Y   85    0.0
D Y   86    0.0
D Y   87    0.0
D Y   88    0.0
D Y   89    5.9939231683e-08
D Y   90    7.06351143496e-16
D Y   91    6.73169282741e-21
D Y   92    0.0
D Y   93    0.0
D Y   94    0.0
D Y   95    0.0
D ZR   86    0.0
D ZR   87    0.0
D ZR   88    0.0
D ZR   89    0.0
D ZR   90    3.69088394251e-08
D ZR   91    8.85812415542e-09
D ZR   92    1.36140429307e-08
D ZR   93    3.58869426924e-09
D ZR   94    7.82490253775e-09
D ZR   95    4.09140338774e-15
D ZR   96    2.25908595929e-10
D ZR   97    2.77244172302e-19
D NB   89    0.0
D NB   90    0.0
D NB   91    0.0
D NB   92    0.0
D NB   93    1.31842479043e-11
D NB   94    6.7982642931e-18
D NB   95    2.23603879528e-15
D NB   96    4.57755774379e-22
D NB   97    1.97536823831e-20
D NB   98    0.0
D NB   99    0.0
D MO   90    0.0
D MO   91    0.0
D MO   92    5.24552815763e-14
D MO   93    1.19058965103e-14
D MO   94    1.24429127035e-11
D MO   95    9.16911370858e-10
D MO   96    2.18684168284e-09
D MO   97    7.18284413382e-10
D MO   98    2.33100084772e-09
D MO   99    7.78985933824e-17
D MO   100    9.81969226323e-14
D MO   101    2.45614999374e-23
D MO   102    0.0
D TC   93    0.0
D TC   94    0.0
D TC   95    0.0
D TC   96    0.0
D TC   97    2.23559553985e-21
D TC   98    1.55585918537e-25
D TC   99    9.02748393015e-14
D TC   101    2.38883009735e-23
D TC   102    0.0
D TC   104    0.0
D TC   105    0.0
D RU   94    0.0
D RU   95    0.0
D RU   96    7.94276406981e-21
D RU   97    1.52688885575e-26
D RU   98    1.32510631279e-18
D RU   99    3.64533508162e-10
D RU   100    1.07186351921e-09
D RU   101    2.25658364328e-10
D RU   102    1.4027419886e-09
D RU   103    6.00023291483e-17
D RU   104    6.20512132179e-14
D RU   105    1.28629086599e-22
D RU   106    1.05788759242e-27
D RH   98    0.0
D RH   99    0.0
D RH   100    0.0
D RH   101    0.0
D RH   102    0.0
D RH   103    2.34223283878e-10
D RH   105    3.32118017006e-21
D RH   107    0.0
D RH   108    0.0
D PD   99    0.0
D PD   100    0.0
D PD   101    0.0
D PD   102    1.83376902819e-27
D PD   103    0.0
D PD   104    7.29042190256e-10
D PD   105    1.80129849252e-10
D PD   106    8.2552518522e-10
D PD   107    8.63401675794e-11
D PD   108    9.41305878518e-10
D PD   109    2.47601351439e-17
D PD   110    4.3987668481e-14
D PD   111    2.27908732707e-23
D PD   112    0.0
D AG   101    0.0
D AG   102    0.0
D AG   103    0.0
D AG   104    0.0
D AG   105    0.0
D AG   106    0.0
D AG   107    8.38002627024e-11
D AG   108    3.61799885937e-20
D AG   109    2.98846386784e-10
D AG   111    1.11060573882e-21
D AG   112    0.0
D AG   113    0.0
D CD   102    0.0
D CD   103    0.0
D CD   104    0.0
D CD   105    0.0
D CD   106    3.73297393966e-25
D CD   107    0.0
D CD   108    6.18413290153e-11
D CD   109    1.44438846618e-14
D CD   110    8.43974309152e-10
D CD   111    2.70500109271e-10
D CD   112    1.04959050664e-09
D CD   113    3.00336361713e-10
D CD   114    1.5102570731e-09
D CD   115    1.00666184233e-16
D CD   116    2.01836409568e-13
D CD   117    3.53878445607e-22
D CD   118    0.0
D IN   106    0.0
D IN   107    0.0
D IN   108    0.0
D IN   109    0.0
D IN   110    0.0
D IN   111    0.0
D IN   112    0.0
D IN   113    6.17212630878e-22
D IN   114    0.0
D IN   115    1.69356840688e-16
D IN   117    1.01545538158e-22
D IN   118    0.0
D IN   119    0.0
D SN   108    0.0
D SN   109    0.0
D SN   110    0.0
D SN   111    0.0
D SN   112    1.73508316634e-21
D SN   113    6.4508256897e-28
D SN   114    2.44597719574e-17
D SN   115    5.82344385868e-10
D SN   116    2.03105968355e-09
D SN   117    6.27299195759e-10
D SN   118    3.34010262015e-09
D SN   119    1.02434701182e-09
D SN   120    6.10511172597e-09
D SN   121    2.07244748331e-16
D SN   122    5.23292157688e-11
D SN   123    5.30704568321e-20
D SN   124    6.95130549147e-11
D SN   125    1.19878145383e-20
D SN   126    3.66231270934e-17
D SN   127    8.91888376782e-28
D SN   128    0.0
D SN   129    0.0
D SN   130    0.0
D SB   113    0.0
D SB   114    0.0
D SB   115    0.0
D SB   116    0.0
D SB   117    0.0
D SB   118    0.0
D SB   119    0.0
D SB   120    0.0
D SB   121    4.47850582586e-10
D SB   122    3.36757415451e-17
D SB   123    3.97565104581e-12
D SB   124    2.89362118389e-21
D SB   125    1.73999405368e-16
D SB   126    1.17290159211e-24
D SB   127    7.27231432181e-25
D SB   128    0.0
D SB   129    0.0
D SB   130    0.0
D SB   131    0.0
D SB   132    0.0
D SB   133    0.0
D TE   114    0.0
D TE   115    0.0
D TE   116    0.0
D TE   117    0.0
D TE   118    0.0
D TE   119    0.0
D TE   120    0.0
D TE   121    0.0
