 initial abundance for selected isotopes
  909   0.00000E+00  TA174
  910   0.00000E+00  TA175
  911   0.00000E+00  TA176
  912   0.00000E+00  TA177
  913   0.00000E+00  TA178
  914   0.00000E+00  TA179
  915   0.00000E+00  TA180
  916   0.00000E+00  TA181
  917   0.00000E+00  TA182
  918   0.00000E+00  TA183
  919   0.00000E+00  TA184
  920   0.00000E+00  TA185
  921   0.00000E+00  TA186
  922   0.00000E+00  W 172
  923   0.00000E+00  W 173
  924   0.00000E+00  W 174
  925   0.00000E+00  W 175
  926   0.00000E+00  W 176
  927   0.00000E+00  W 177
  928   0.00000E+00  W 178
  929   0.00000E+00  W 179
  930   0.00000E+00  W 180
  931   0.00000E+00  W 181
  932   0.00000E+00  W 182
  933   0.00000E+00  W 183
  934   0.00000E+00  W 184
  935   0.00000E+00  W 185
  936   0.00000E+00  W 186
  937   0.00000E+00  W 187
  938   0.00000E+00  W 188
  939   0.00000E+00  W 189
  940   0.00000E+00  W 190
  941   0.00000E+00  RE175
  942   0.00000E+00  RE176
  943   0.00000E+00  RE177
  944   0.00000E+00  RE178
  945   0.00000E+00  RE179
  946   0.00000E+00  RE180
  947   0.00000E+00  RE181
  948   0.00000E+00  RE182
  949   0.00000E+00  RE183
  950   0.00000E+00  RE184
  951   0.00000E+00  RE185
  952   0.00000E+00  RE186
  953   0.00000E+00  RE187
  954   0.00000E+00  RE188
  955   0.00000E+00  RE189
  956   0.00000E+00  RE190
  957   0.00000E+00  RE191
  958   0.00000E+00  OS179
  959   0.00000E+00  OS180
  960   0.00000E+00  OS181
  961   0.00000E+00  OS182
  962   0.00000E+00  OS183
  963   0.00000E+00  OS184
  964   0.00000E+00  OS185
  965   0.00000E+00  OS186
  966   0.00000E+00  OS187
  967   0.00000E+00  OS188
  968   0.00000E+00  OS189
  969   0.00000E+00  OS190
  970   0.00000E+00  OS191
  971   0.00000E+00  OS192
  972   0.00000E+00  OS193
  973   0.00000E+00  OS194
  974   0.00000E+00  OS195
  975   0.00000E+00  OS196
  976   0.00000E+00  IR181
  977   0.00000E+00  IR182
  978   0.00000E+00  IR183
  979   0.00000E+00  IR184
  980   0.00000E+00  IR185
  981   0.00000E+00  IR186
  982   0.00000E+00  IR187
  983   0.00000E+00  IR188
  984   0.00000E+00  IR189
  985   0.00000E+00  IR190
  986   0.00000E+00  IR191
  987   0.00000E+00  IR192
  988   0.00000E+00  IR193
  989   0.00000E+00  IR194
  990   0.00000E+00  IR195
  991   0.00000E+00  IR196
  992   0.00000E+00  IR197
  993   0.00000E+00  PT184
  994   0.00000E+00  PT185
  995   0.00000E+00  PT186
  996   0.00000E+00  PT187
  997   0.00000E+00  PT188
  998   0.00000E+00  PT189
  999   0.00000E+00  PT190
 1000   0.00000E+00  PT191
 1001   0.00000E+00  PT192
 1002   0.00000E+00  PT193
 1003   0.00000E+00  PT194
 1004   0.00000E+00  PT195
 1005   0.00000E+00  PT196
 1006   0.00000E+00  PT197
 1007   0.00000E+00  PT198
 1008   0.00000E+00  PT199
 1009   0.00000E+00  PT200
 1010   0.00000E+00  PT201
 1011   0.00000E+00  PT202
 1012   0.00000E+00  AU185
 1013   0.00000E+00  AU186
 1014   0.00000E+00  AU187
 1015   0.00000E+00  AU188
 1016   0.00000E+00  AU189
 1017   0.00000E+00  AU190
 1018   0.00000E+00  AU191
 1019   0.00000E+00  AU192
 1020   0.00000E+00  AU193
 1021   0.00000E+00  AU194
 1022   0.00000E+00  AU195
 1023   0.00000E+00  AU196
 1024   0.00000E+00  AU197
 1025   0.00000E+00  AU198
 1026   0.00000E+00  AU199
 1027   0.00000E+00  AU200
 1028   0.00000E+00  AU201
 1029   0.00000E+00  AU202
 1030   0.00000E+00  AU203
 1031   0.00000E+00  HG189
 1032   0.00000E+00  HG190
 1033   0.00000E+00  HG191
 1034   0.00000E+00  HG192
 1035   0.00000E+00  HG193
 1036   0.00000E+00  HG194
 1037   0.00000E+00  HG195
 1038   0.00000E+00  HG196
 1039   0.00000E+00  HG197
 1040   0.00000E+00  HG198
 1041   0.00000E+00  HG199
 1042   0.00000E+00  HG200
 1043   0.00000E+00  HG201
 1044   0.00000E+00  HG202
 1045   0.00000E+00  HG203
 1046   0.00000E+00  HG204
 1047   0.00000E+00  HG205
 1048   0.00000E+00  HG206
 1049   0.00000E+00  HG207
 1050   0.00000E+00  HG208
 1051   0.00000E+00  TL192
 1052   0.00000E+00  TL193
 1053   0.00000E+00  TL194
 1054   0.00000E+00  TL195
 1055   0.00000E+00  TL196
 1056   0.00000E+00  TL197
 1057   0.00000E+00  TL198
 1058   0.00000E+00  TL199
 1059   0.00000E+00  TL200
 1060   0.00000E+00  TL201
 1061   0.00000E+00  TL202
 1062   0.00000E+00  TL203
 1063   0.00000E+00  TL204
 1064   0.00000E+00  TL205
 1065   0.00000E+00  TL206
 1066   0.00000E+00  TL207
 1067   0.00000E+00  TL208
 1068   0.00000E+00  TL209
 1069   0.00000E+00  TL210
 1070   0.00000E+00  PB193
 1071   0.00000E+00  PB194
 1072   0.00000E+00  PB195
 1073   0.00000E+00  PB196
 1074   0.00000E+00  PB197
 1075   0.00000E+00  PB198
 1076   0.00000E+00  PB199
 1077   0.00000E+00  PB200
 1078   0.00000E+00  PB201
 1079   0.00000E+00  PB202
 1080   0.00000E+00  PB203
 1081   0.00000E+00  PB204
 1082   0.00000E+00  PB205
 1083   0.00000E+00  PB208
 1084   0.00000E+00  PB209
 1085   0.00000E+00  PB210
 1086   0.00000E+00  PB211
 1087   0.00000E+00  BI202
 1088   0.00000E+00  BI203
 1089   0.00000E+00  BI204
 1090   0.00000E+00  BI205
 1091   0.00000E+00  BI206
 1092   0.00000E+00  BI207
 1093   0.00000E+00  BI208
 1094   0.00000E+00  BI209
 1095   0.00000E+00  BI210
 1096   0.00000E+00  AL*26
 1097   0.00000E+00  KR*85
 1098   0.00000E+00  CD*15
 1099   0.00000E+00  LU*76
 1100   0.00000E+00  TAg80
