 initial abundance for selected isotopes
  207   0.00000E+00  ZN 70
  208   0.00000E+00  ZN 71
  209   0.00000E+00  ZN 72
  210   0.00000E+00  ZN 73
  211   0.00000E+00  ZN 74
  212   0.00000E+00  GA 65
  213   0.00000E+00  GA 66
  214   0.00000E+00  GA 67
  215   0.00000E+00  GA 68
  216   0.00000E+00  GA 69
  217   0.00000E+00  GA 70
  218   0.00000E+00  GA 71
  219   0.00000E+00  GA 72
  220   0.00000E+00  GA 73
  221   0.00000E+00  GA 74
  222   0.00000E+00  GA 75
  223   0.00000E+00  GE 66
  224   0.00000E+00  GE 67
  225   0.00000E+00  GE 68
  226   0.00000E+00  GE 69
  227   0.00000E+00  GE 70
  228   0.00000E+00  GE 71
  229   0.00000E+00  GE 72
  230   0.00000E+00  GE 73
  231   0.00000E+00  GE 74
  232   0.00000E+00  GE 75
  233   0.00000E+00  GE 76
  234   0.00000E+00  GE 77
  235   0.00000E+00  GE 78
  236   0.00000E+00  AS 69
  237   0.00000E+00  AS 70
  238   0.00000E+00  AS 71
  239   0.00000E+00  AS 72
  240   0.00000E+00  AS 73
  241   0.00000E+00  AS 74
  242   0.00000E+00  AS 75
  243   0.00000E+00  AS 76
  244   0.00000E+00  AS 77
  245   0.00000E+00  AS 78
  246   0.00000E+00  AS 79
  247   0.00000E+00  AS 80
  248   0.00000E+00  AS 81
  249   0.00000E+00  SE 72
  250   0.00000E+00  SE 73
  251   0.00000E+00  SE 74
  252   0.00000E+00  SE 75
  253   0.00000E+00  SE 76
  254   0.00000E+00  SE 77
  255   0.00000E+00  SE 78
  256   0.00000E+00  SE 79
  257   0.00000E+00  SE 80
  258   0.00000E+00  SE 81
  259   0.00000E+00  SE 82
  260   0.00000E+00  SE 83
  261   0.00000E+00  SE 84
  262   0.00000E+00  BR 74
  263   0.00000E+00  BR 75
  264   0.00000E+00  BR 76
  265   0.00000E+00  BR 77
  266   0.00000E+00  BR 78
  267   0.00000E+00  BR 79
  268   0.00000E+00  BR 80
  269   0.00000E+00  BR 81
  270   0.00000E+00  BR 82
  271   0.00000E+00  BR 83
  272   0.00000E+00  BR 84
  273   0.00000E+00  BR 85
  274   0.00000E+00  BR 86
  275   0.00000E+00  BR 87
  276   0.00000E+00  KR 76
  277   0.00000E+00  KR 77
  278   0.00000E+00  KR 78
  279   0.00000E+00  KR 79
  280   0.00000E+00  KR 80
  281   0.00000E+00  KR 81
  282   0.00000E+00  KR 82
  283   0.00000E+00  KR 83
  284   0.00000E+00  KR 84
  285   0.00000E+00  KR 85
  286   0.00000E+00  KR 86
  287   0.00000E+00  KR 87
  288   0.00000E+00  KR 88
  289   0.00000E+00  KR 89
  290   0.00000E+00  KR 90
  291   0.00000E+00  RB 79
  292   0.00000E+00  RB 80
  293   0.00000E+00  RB 81
  294   0.00000E+00  RB 82
  295   0.00000E+00  RB 83
  296   0.00000E+00  RB 84
  297   0.00000E+00  RB 85
  298   0.00000E+00  RB 86
  299   0.00000E+00  RB 87
  300   0.00000E+00  RB 88
  301   0.00000E+00  RB 89
  302   0.00000E+00  RB 90
  303   0.00000E+00  RB 91
  304   0.00000E+00  SR 80
  305   0.00000E+00  SR 81
  306   0.00000E+00  SR 82
  307   0.00000E+00  SR 83
  308   0.00000E+00  SR 84
  309   0.00000E+00  SR 85
  310   0.00000E+00  SR 86
  311   0.00000E+00  SR 87
  312   0.00000E+00  SR 88
  313   0.00000E+00  SR 89
  314   0.00000E+00  SR 90
  315   0.00000E+00  SR 91
  316   0.00000E+00  SR 92
  317   0.00000E+00  SR 93
  318   0.00000E+00  SR 94
  319   0.00000E+00  Y  85
  320   0.00000E+00  Y  86
  321   0.00000E+00  Y  87
  322   0.00000E+00  Y  88
  323   0.00000E+00  Y  89
  324   0.00000E+00  Y  90
  325   0.00000E+00  Y  91
  326   0.00000E+00  Y  92
  327   0.00000E+00  Y  93
  328   0.00000E+00  Y  94
  329   0.00000E+00  Y  95
  330   0.00000E+00  Y  96
  331   0.00000E+00  ZR 86
  332   0.00000E+00  ZR 87
  333   0.00000E+00  ZR 88
  334   0.00000E+00  ZR 89
  335   0.00000E+00  ZR 90
  336   0.00000E+00  ZR 91
  337   0.00000E+00  ZR 92
  338   0.00000E+00  ZR 93
  339   0.00000E+00  ZR 94
  340   0.00000E+00  ZR 95
  341   0.00000E+00  ZR 96
  342   0.00000E+00  ZR 97
  343   0.00000E+00  ZR 98
  344   0.00000E+00  NB 89
  345   0.00000E+00  NB 90
  346   0.00000E+00  NB 91
  347   0.00000E+00  NB 92
  348   0.00000E+00  NB 93
  349   0.00000E+00  NB 94
  350   0.00000E+00  NB 95
  351   0.00000E+00  NB 96
  352   0.00000E+00  NB 97
  353   0.00000E+00  NB 98
  354   0.00000E+00  NB 99
  355   0.00000E+00  MO 90
  356   0.00000E+00  MO 91
  357   0.00000E+00  MO 92
  358   0.00000E+00  MO 93
  359   0.00000E+00  MO 94
  360   0.00000E+00  MO 95
  361   0.00000E+00  MO 96
  362   0.00000E+00  MO 97
  363   0.00000E+00  MO 98
  364   0.00000E+00  MO 99
  365   0.00000E+00  MO100
  366   0.00000E+00  MO101
  367   0.00000E+00  MO102
  368   0.00000E+00  TC 93
  369   0.00000E+00  TC 94
  370   0.00000E+00  TC 95
  371   0.00000E+00  TC 96
  372   0.00000E+00  TC 97
  373   0.00000E+00  TC 98
  374   0.00000E+00  TC 99
  375   0.00000E+00  TC100
  376   0.00000E+00  TC101
  377   0.00000E+00  TC102
  378   0.00000E+00  TC103
  379   0.00000E+00  TC104
  380   0.00000E+00  TC105
  381   0.00000E+00  RU 94
  382   0.00000E+00  RU 95
  383   0.00000E+00  RU 96
  384   0.00000E+00  RU 97
  385   0.00000E+00  RU 98
  386   0.00000E+00  RU 99
  387   0.00000E+00  RU100
  388   0.00000E+00  RU101
  389   0.00000E+00  RU102
  390   0.00000E+00  RU103
  391   0.00000E+00  RU104
  392   0.00000E+00  RU105
  393   0.00000E+00  RU106
  394   0.00000E+00  RH 98
  395   0.00000E+00  RH 99
  396   0.00000E+00  RH100
  397   0.00000E+00  RH101
  398   0.00000E+00  RH102
  399   0.00000E+00  RH103
  400   0.00000E+00  RH104
  401   0.00000E+00  RH105
  402   0.00000E+00  RH106
  403   0.00000E+00  RH107
  404   0.00000E+00  RH108
  405   0.00000E+00  PD 99
  406   0.00000E+00  PD100
  407   0.00000E+00  PD101
  408   0.00000E+00  PD102
  409   0.00000E+00  PD103
  410   0.00000E+00  PD104
  411   0.00000E+00  PD105
  412   0.00000E+00  PD106
  413   0.00000E+00  PD107
  414   0.00000E+00  PD108
  415   0.00000E+00  PD109
  416   0.00000E+00  PD110
  417   0.00000E+00  PD111
  418   0.00000E+00  PD112
  419   0.00000E+00  AG101
  420   0.00000E+00  AG102
  421   0.00000E+00  AG103
